Index;Tokenization
0;تذكر,ذهاب,مشاهد,ألعاب,نار,عز,أصدقاء,مر,أولى,قضة,قت,مفرد,مع,رغم,جود,كثير,أشخاص,شعر,أشخاص,وحيد,عالم,
1;فضل,صديق,اشتاق,
2;أعاد,تحدث,
3;شعر,ضرب,جدار,فارغ,رأى,ظلام,
4;شعر,أمر,عجيب,
5;ظن,عمل,كنت,عرق,
6;مرحب,حالك,يوم,
7;حاول,يم,شخص,شعر,اصطدم,جدار,فارغ,رأى,ظلام,
8;غش,زوج,
9;كنى,أمر,سهل,خور,فعل,
10;مقابل,عمل,جعل,دائم,عرق,سبب,رصاص,جعل,مرتاح,شكل,عام,نظر,مجهر,قبيل,
11;شعر,رغب,استعداد,إلقاء,كرة,منحنى,
12;مرحب,عام,كنت,طالب,مدرس,هندسة,
13;علم,حاسوب,سعيد,جد,إنجاز,عائل,خور,جد,
14;قد,فقد,وظيف,عام,ماضي,غضب,حق,
15;مفاجأة,كامل,
16;عيد,ميلاد,سنوات,حصل,هدايا,
17;يوم,كنى,عيد,ميلاد,وقت,مناسب,ونى,ملك,عائل,عيد,ميلاد,أسوأ,دائم,
18;زملاء,عمل,عمل,بعد,كن,
19;فعل,أمر,مؤسف,فضل,لاعب,متحيز,مثير,فضول,
20;مرحب,ذهب,حديقة,وضع,مقعد,لاحظ,محفظة,شعر,جاء,رجل,خلف,عاد,محفظة,
21;على,كنت,ممتن,جد,لد,كثير,مال,محفظة,
22;يتم,رفض,أشخاص,طوال,وقت,انبغى,كوى,عذر,تثني,وصول,أهداف,
23;رفض,مكان,ردى,عمل,واحد,مر,
24;اضطر,صعود,منزل,كامل,إعصار,قادم,
25;حسن,حظ,منزل,رام,
26;كنت,مرحلة,مدرس,سقط,سروال,فصل,أكمل,شعر,حرج,شديد,
27;كاد,كي,جميع,ضحك,علي,
28;اعتقد,سار,نحو,
29;كنت,شاطئ,غير,إعصار,مسار,اتجه,مباشر,رغب,صديق,مغادر,كن,يوم,ثاني,إجازة,
30;فرق,أحدث,عام,إحدى,أمس,عام,ماضي,عائل,منزل,سقط,شجر,منزل,اخترق,سقف,
31;كن,رام,رغم,شجر,اخترق,أمتار,قليل,ابن,
32;واقع,كن,خارج,منزل,مد,خمس,أشهر,إجراء,إصلاح,منزل,فضل,مضى,
33;أسبوع,ماضي,كن,شاهد,أس,عالم,رأى,كروات,تهزم,دول,مضيف,روس,
34;بلد,كنى,شك,سماح,بعض,بعض,فوز,
35;مرحب,لد,زميل,عمل,سأل,دائم,أسئلة,كيفية,استخدام,هاتف,محمول,دائم,تقريب,أسئلة,
36;خبر,هواتف,محمول,استخدم,حذف,جهة,اتصال,خاصة,
37;عمل,شاحن,طوال,عطل,نهاية,أسبوع,نفق,دولار,قطع,غيار,أداة,خاصة,زال,صلح,خطأ,محرك,
38;ملك,جمال,قاد,انفجر,اهتز,كاد,امتلك,قوة,أوقات,أخرى,قود,رام,قد,استبدل,كثير,أشياء,شيء,حدث,فرق,فترة,طويل,جد,
39;وجد,نفس,مطلق,سنوات,أول,حي,كنت,عيش,وحد,
40;شعر,طريق,فترة,وقت,اعتاد,عزلة,
41;شعر,فخر,حقق,حلم,كنت,رغب,تحقيق,فترة,طويل,قد,غفا,!,
42;غاب,أهبط,مبنى,مذهل,
43;مرحب,
44;مضحك,قد,بن,منزل,اعتاد,ذهاب,تخييم,كنت,طفل,
45;رائع,خطط,إشعال,حريق,
46;قد,تخطيط,منزل,جديد,انفجار,
47;قد,انتقل,تو,تم,بناء,فعل,عمل,تخطيط,ديكور,أجهزة,منزل,شاب,
48;تناول,شراب,أصدقاء,انتشر,معي,تناول,مشروب,
49;كنى,شيء,نسب,لحظ,التقط,ارتكب,خطأ,لاحق,ليل,بدأ,شعر,ضيق,
50;على,أمة,بدأ,تقيؤ,سدى,ثوب,عرف,أمة,
51;كنت,متزوج,مد,أسابيع,علم,زوج,علاقة,غرام,مستمر,زفاف,قد,استعادة,نوم,صديق,مقرب,عائل,شعر,ذنب,خجل,خارج,طبيعة,
52;حسن,اختار,بقاء,عمل,خبر,قد,مر,سنوات,
53;كنت,عمل,وظيف,أولى,أخذ,والد,سيار,جديد,كنت,مندهش,جد,ونى,اعتقد,ونى,اضطر,شراء,سيار,خاصة,
